formula,Nb,Mo,Ta,W,SFE,composition,Weight Fraction,Atomic Fraction,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model
Nb2Mo66Ta6W26,2,66,6,26,1.8994,Nb2 Mo66 Ta6 W26,Nb0.01500501150734287 Mo0.5113337376020642 Ta0.08767293553884987 W0.38598831535174305 ,Nb0.02Mo0.66Ta0.06W0.26,0.01810688451754575,13.22393791763026,0.018211713032747802,1.1767999999999998,1.0442452711533703,-0.007245854232405921,123.8470004,12383.38004,-22.100501535967098,0.04006192742688082,0.07301999999999995,5.92,1.7120000000000002,7.4526,18.0,2.0,0,16.0,0,121.07759999999999,0.2002624376270669,11.237568,-0.023674406679349197
Nb28Mo59Ta5W8,28,59,5,8,1.325,Nb28 Mo59 Ta5 W8,Nb0.2445525762480187 Mo0.5321332521392811 Ta0.08505349728830199 W0.13826067432439829 ,Nb0.28Mo0.59Ta0.05W0.08,0.01798658553655122,4.627209007728856,0.0006670409642254771,1.2738000000000003,1.0440510069951798,-0.008476776582484014,106.38478039999998,10637.29804,-26.201930004529554,0.06569542693467717,0.1437000000000001,5.67,5.3836,7.2604,18.0,2.0,0,16.0,0,94.48709999999998,0.40790869690927983,19.448283,-0.0815805182139003
Nb57Mo7Ta11W25,57,7,11,25,1.2744,Nb57 Mo7 Ta11 W25,Nb0.42184186111103505 Mo0.053496705091907 Ta0.158553365357848 W0.36610806843920995 ,Nb0.57Mo0.07Ta0.11W0.25,0.025891615495163885,4.32248888042132,-0.024370322019499967,1.8161999999999998,1.0439558094153263,-0.009111560495741628,125.5381034,12553.67034,-13.591721442271831,0.07860376779325862,0.15868500000000002,5.32,6.441599999999999,7.908300000000001,18.0,2.0,0,16.0,0,75.2676,0.6569090968954104,24.877608000000002,-0.1447468171340025
Nb18Mo43Ta5W34,18,43,5,34,0.7738,Nb18 Mo43 Ta5 W34,Nb0.12910603098969342 Mo0.3184906272586214 Ta0.06984768072380236 W0.48255566102788283 ,Nb0.18Mo0.43Ta0.05W0.34,0.022811000178446034,6.612897641066973,0.007630613231788388,1.701,1.0442154201385179,-0.009878301928808588,129.5389424,12953.03424,-18.984258566221147,0.06309239627946554,0.13991999999999996,5.77,4.722,7.7262,18.0,2.0,0,16.0,0,111.9921,0.36505839433132975,21.299523,-0.07416485838376341
Nb31Mo44Ta17W8,31,44,17,8,1.4521,Nb31 Mo44 Ta17 W8,Nb0.24725494899048608 Mo0.3624016374438781 Ta0.26408283966967333 W0.12626057389596254 ,Nb0.31Mo0.44Ta0.17W0.08,0.02080290762430621,5.119640391414424,-0.010008332719094489,1.5750000000000002,1.0439558094153263,-0.010206175959058551,116.4917174,11648.291739999999,-23.583864465014287,0.07172519320933547,0.1608000000000001,5.520000000000001,5.944,7.4365,18.0,2.0,0,16.0,0,86.4816,0.45241071256614684,21.175248,-0.09329492075857201
Nb33Mo28Ta36W3,33,28,36,3,1.2519,Nb33 Mo28 Ta36 W3,Nb0.23919025006628594 Mo0.20957609303175076 Ta0.5082062413934344 W0.043027415508528837 ,Nb0.33Mo0.28Ta0.36W0.03,0.019147766268503327,6.17130908373978,-0.0015787054693973312,1.4328000000000003,1.0437960551035788,-0.00993755992659099,128.1843422,12817.87422,-27.10463264352411,0.06727511507858003,0.13270500000000013,5.31,4.852799999999999,7.590700000000001,18.0,2.0,0,16.0,0,74.1003,0.4530536859357544,18.061947000000004,-0.08604543963459425
Nb10Mo42Ta27W21,10,42,27,21,1.6449,Nb10 Mo42 Ta27 W21,Nb0.06779124022434993 Mo0.29402011644325565 Ta0.35648831913535406 W0.28170032419704044 ,Nb0.1Mo0.42Ta0.27W0.21,0.026003823961907306,6.046830348535478,-0.0022749058733793712,1.9902,1.0440419181336018,-0.010607539708310383,137.0561656,13704.776559999998,-15.687012099135226,0.07148829567733006,0.16474500000000003,5.63,5.5356000000000005,7.6774,18.0,2.0,0,16.0,0,103.0539,0.3554025807109582,19.965483,-0.06530197530143625
Nb34Mo5Ta17W44,34,5,17,44,1.4385,Nb34 Mo5 Ta17 W44,Nb0.2133818034830749 Mo0.032404300003189494 Ta0.2077951211253685 W0.5464187753883671 ,Nb0.34Mo0.05Ta0.17W0.44,0.030568498482451564,4.2903736306539795,-0.012272542871313822,2.2674000000000003,1.0441056397564028,-0.009802588482105554,148.0369088,14803.59088,-10.490412302013093,0.0835932362411191,0.18690000000000004,5.49,7.459600000000001,8.2078,18.0,2.0,0,16.0,0,97.52370000000002,0.5366020221881548,27.945147000000002,-0.1340017108016088
Nb20Mo34Ta2W44,20,34,2,44,0.8001,Nb20 Mo34 Ta2 W44,Nb0.1369195604689341 Mo0.24036354094694268 Ta0.02666695677668792 W0.5960499418074352 ,Nb0.2Mo0.34Ta0.02W0.44,0.023177831568761385,6.264584621872603,0.008333677668538979,1.7112000000000003,1.0442728711160005,-0.009379478760877502,135.7162336,13570.943360000001,-17.459552135560088,0.06350528518695393,0.13991999999999996,5.78,4.830400000000001,7.910800000000001,18.0,2.0,0,16.0,0,115.55940000000001,0.37524668736722594,22.245588,-0.0790431550937232
Nb25Mo13Ta6W56,25,13,6,56,1.4335,Nb25 Mo13 Ta6 W56,Nb0.1553555340046205 Mo0.08342270105508051 Ta0.07261827536340301 W0.6886034895768959 ,Nb0.25Mo0.13Ta0.06W0.56,0.027422231251122645,4.814748362146572,0.001972050563235592,1.954,1.0442774753343809,-0.009189508250362799,149.5086678,14950.606780000002,-12.22043581042829,0.07417252135551769,0.16529999999999997,5.69,6.356800000000001,8.249100000000002,18.0,2.0,0,16.0,0,114.22170000000001,0.4324276294598092,25.097187,-0.10192828700795598
Nb37Mo33Ta12W18,37,33,12,18,1.39,Nb37 Mo33 Ta12 W18,Nb0.28446885635439356 Mo0.2619998955284085 Ta0.1796892969321243 W0.27384195118507376 ,Nb0.37Mo0.33Ta0.12W0.18,0.023533560331359758,5.063503409568685,-0.010768851539883068,1.8012,1.0440078770163066,-0.010781822576509156,120.8471062,12084.050619999998,-19.46780152848996,0.07538106727882005,0.17208000000000004,5.51,6.4584,7.625500000000001,18.0,2.0,0,16.0,0,87.8583,0.5096615340732127,24.541226999999996,-0.10851101286459329
Nb5Mo71Ta16W8,5,71,16,8,0.7413,Nb5 Mo71 Ta16 W8,Nb0.03990084147612641 Mo0.585092558587665 Ta0.24867950469093364 W0.12632709524527516 ,Nb0.05Mo0.71Ta0.16W0.08,0.019100613300682568,6.168230373171143,0.00914940263343177,1.2268,1.0440805785233116,-0.007384711452649535,116.43577979999999,11642.157979999998,-20.241323509680573,0.05594784651470006,0.11058000000000004,5.789999999999999,3.6104,7.2287,18.0,2.0,0,16.0,0,107.31869999999999,0.24669978281741894,12.038787,-0.03474731850869972
Nb3Mo36Ta7W54,3,36,7,54,1.9899,Nb3 Mo36 Ta7 W54,Nb0.018672704657631534 Mo0.23138896831668648 Ta0.08485784023175395 W0.6650804867939281 ,Nb0.03Mo0.36Ta0.07W0.54,0.02185615718669912,11.808197683189334,-0.00862479812006627,1.4838000000000002,1.044362871858911,-0.008246489521068401,149.272743,14926.5543,-17.2632078955314,0.04676169980543967,0.09125999999999992,5.9,2.3400000000000003,8.0553,18.0,2.0,0,16.0,0,130.239,0.22755744620198462,14.3901,-0.03326374070802364
Nb19Mo16Ta43W22,19,16,43,22,1.3347,Nb19 Mo16 Ta43 W22,Nb0.1167049825128228 Mo0.10148689259269357 Ta0.514413329088969 W0.26739479580551473 ,Nb0.19Mo0.16Ta0.43W0.22,0.028266292500298208,5.722108029992349,-0.006721988206916943,2.119,1.0438971372876786,-0.010847834458407259,151.2582006,15125.500059999998,-13.577047944466676,0.07805501527302715,0.16710000000000003,5.38,6.0920000000000005,7.9705,18.0,2.0,0,16.0,0,88.83539999999999,0.4638895714664902,22.289028000000002,-0.0962137675067533
Nb24Mo66Ta7W3,24,66,7,3,1.0434,Nb24 Mo66 Ta7 W3,Nb0.21481350964881685 Mo0.6100261609395996 Ta0.12202711669002651 W0.05313321272155702 ,Nb0.24Mo0.66Ta0.07W0.03,0.01633973699254325,4.384844370873128,0.0021163664946873472,1.1021999999999998,1.0440328340041227,-0.00754988568315802,103.8126828,10379.94828,-28.27810171348392,0.06303249415554314,0.13270500000000013,5.6899999999999995,5.014800000000001,7.152000000000001,18.0,2.0,0,16.0,0,94.8177,0.36977461003847334,16.854506999999998,-0.07324041429117903
Nb10Mo40Ta19W31,10,40,19,31,0.9408,Nb10 Mo40 Ta19 W31,Nb0.06682127035080049 Mo0.2760125914907372 Ta0.2472727674555826 W0.4098933707028796 ,Nb0.1Mo0.4Ta0.19W0.31,0.02619014550890837,6.63382133527658,0.003362635831692693,1.987,1.0441421567324993,-0.01060351310795063,139.0451352,13903.713520000001,-15.458735091517458,0.06819530744594395,0.155625,5.710000000000001,5.1212,7.7829999999999995,18.0,2.0,0,16.0,0,110.54429999999999,0.3429148363827105,20.469147,-0.065575478292666
Nb24Mo1Ta1W74,24,1,1,74,0.9257,Nb24 Mo1 Ta1 W74,Nb0.13840113350043862 Mo0.005955011175422004 Ta0.011231463910453614 W0.8444123914136857 ,Nb0.24Mo0.01Ta0.01W0.74,0.02556376330661513,3.1749421463216096,0.005589596880196771,1.5393999999999999,1.0443999289692962,-0.005465865518556309,161.10820999999999,16110.801,-8.363910301393243,0.07031794082458886,0.14135999999999999,5.75,5.949999999999999,8.552,18.0,2.0,0,16.0,0,124.0575,0.39903775359961774,21.685034999999996,-0.09088323766135817
Nb74Mo18Ta4W4,74,18,4,4,1.1371,Nb74 Mo18 Ta4 W4,Nb0.6833290892167403 Mo0.17164251518428775 Ta0.0719392890011458 W0.0730891065978261 ,Nb0.74Mo0.18Ta0.04W0.04,0.015227829720749987,4.2930994649245555,0.020966763208693073,0.9168000000000001,1.0438319280517212,-0.006559675760884556,100.61503640000001,10061.14364,-28.288267453531233,0.06238263913202648,0.10872000000000007,5.220000000000001,4.332800000000001,7.509399999999999,18.0,2.0,0,16.0,0,57.438599999999994,0.6225068249801936,15.518868,-0.1123144917364252
Nb37Mo26Ta13W24,37,26,13,24,1.4151,Nb37 Mo26 Ta13 W24,Nb0.2707476309240092 Mo0.19646738497983512 Ta0.18527390453014908 W0.3475110795660065 ,Nb0.37Mo0.26Ta0.13W0.24,0.025450564606353684,5.075500329815952,-0.011507561017172796,1.9558000000000002,1.0440282937127088,-0.011023109605883668,126.969785,12696.4585,-17.01802992643757,0.07755424231495692,0.17736000000000005,5.5,6.699999999999999,7.7631,18.0,2.0,0,16.0,0,89.619,0.5240392631364459,25.840500000000002,-0.11530650245904861
Nb4Mo5Ta40W51,4,5,40,51,1.9796,Nb4 Mo5 Ta40 W51,Nb0.021278202257286792 Mo0.027466234350161083 Ta0.414422086908053 W0.5368334764844992 ,Nb0.04Mo0.05Ta0.4W0.51,0.0343211452899517,4.167969806910516,-0.007384727681997045,2.4652000000000003,1.0441170431195084,-0.008218086882431076,174.6518072,17465.080719999998,-6.97665399596451,0.08224997850919101,0.18532500000000002,5.5600000000000005,6.812800000000001,8.4228,18.0,2.0,0,16.0,0,112.7868,0.3793482969787618,22.107192,-0.07198687305715604
Nb40Mo46Ta5W9,40,46,5,9,1.5554,Nb40 Mo46 Ta5 W9,Nb0.3476776698468881 Mo0.41288472322220504 Ta0.08464372586970657 W0.1547938810612003 ,Nb0.4Mo0.46Ta0.05W0.09,0.01918312959043205,4.3143729155674215,-0.007863111732276558,1.4125999999999999,1.044001076760294,-0.009064099508878475,106.89714599999996,10688.7946,-24.63120980011788,0.07133744001105853,0.16078500000000007,5.549999999999999,6.154000000000001,7.371199999999999,18.0,2.0,0,16.0,0,85.45949999999998,0.4921982111421572,22.199355,-0.10154508037804601
Nb6Mo29Ta2W63,6,29,2,63,2.0813,Nb6 Mo29 Ta2 W63,Nb0.036473174856323815 Mo0.1820432128840443 Ta0.02367883191344914 W0.7578047803461827 ,Nb0.06Mo0.29Ta0.02W0.63,0.019464568038101752,12.093469758219655,-0.002171018710102458,1.266,1.0444254510721191,-0.007458580903056475,152.84094040000002,15283.51404,-19.686416289234828,0.04301536404872987,0.0791249999999999,5.92,2.096,8.201,18.0,2.0,0,16.0,0,133.59359999999998,0.2328626134547699,13.899768,-0.03670215105407319
Nb1Mo66Ta7W26,1,66,7,26,2.1144,Nb1 Mo66 Ta7 W26,Nb0.007449542115308854 Mo0.5077239975965082 Ta0.10156301396256069 W0.38326344632562237 ,Nb0.01Mo0.66Ta0.07W0.26,0.018423751460436365,13.307194767328129,0.018209668684259873,1.1942,1.0442429731158869,-0.007122431250671941,124.7274154,12471.42154,-20.983219965134218,0.04006192742688082,0.07301999999999993,5.92,1.6752000000000002,7.457900000000001,18.0,2.0,0,16.0,0,121.3896,0.19238667512166474,10.934928,-0.021071335261137754
Nb53Mo2Ta5W40,53,2,5,40,1.3749,Nb53 Mo2 Ta5 W40,Nb0.3681728219509073 Mo0.014346964639055394 Ta0.06764782248989053 W0.5498323909201467 ,Nb0.53Mo0.02Ta0.05W0.4,0.02861500419978753,3.208562562327459,-0.017213292182625416,2.0294000000000003,1.0440828553320645,-0.00774057386660698,133.7429754,13374.25754,-9.453345514456416,0.08418786106244486,0.18216000000000004,5.420000000000001,7.618400000000001,8.113500000000002,18.0,2.0,0,16.0,0,86.80860000000001,0.6388920689580616,28.180788,-0.15469994759400818
Nb55Mo6Ta32W7,55,6,32,7,1.1291,Nb55 Mo6 Ta32 W7,Nb0.4003737198912783 Mo0.04510329804695777 Ta0.4536916774431325 W0.10083130461863148 ,Nb0.55Mo0.06Ta0.32W0.07,0.01811365066233126,8.608588491378303,0.001178025103394198,1.1480000000000001,1.0437423844456022,-0.008716249333334921,127.62823059999998,12762.70306,-26.5654801302365,0.05570305989436004,0.07762500000000003,5.129999999999999,3.0352000000000006,7.7877,18.0,2.0,0,16.0,0,60.24089999999999,0.5494141681702294,15.474123,-0.08996522109490972
Nb1Mo30Ta67W2,1,30,67,2,1.2821,Nb1 Mo30 Ta67 W2,Nb0.006008576602998492 Mo0.18614313870317903 Ta0.7840691486927159 W0.02377913600110655 ,Nb0.01Mo0.3Ta0.67W0.02,0.020699833143659932,4.447199619761643,-0.023553830731572124,1.391,1.0437267617704966,-0.006267126230576686,154.62894340000003,15462.294339999999,-14.626309287396067,0.0671378091872792,0.13350000000000012,5.32,4.473600000000001,7.7267,18.0,2.0,0,16.0,0,84.1836,0.285502823105082,11.293488,-0.03289158531466532
Nb33Mo18Ta38W11,33,18,38,11,1.2549,Nb33 Mo18 Ta38 W11,Nb0.22393473014045592 Mo0.12613458844567466 Ta0.502225860033388 W0.14770482138048152 ,Nb0.33Mo0.18Ta0.38W0.11,0.023046844546680007,6.431106087153734,-0.003110137633737067,1.6864,1.0438184670034059,-0.01068352785845577,136.9144998,13691.089979999999,-20.11368951614477,0.07089743335103545,0.13822500000000004,5.290000000000001,5.1256,7.782700000000001,18.0,2.0,0,16.0,0,76.1337,0.49974742072965717,20.244267,-0.09745600461704443
Nb37Mo30Ta6W27,37,30,6,27,1.7062,Nb37 Mo30 Ta6 W27,Nb0.2780030190997175 Mo0.23276796973376526 Ta0.0878025237757536 W0.40142648739076375 ,Nb0.37Mo0.3Ta0.06W0.27,0.024601972722199914,4.803208499454671,-0.006516933032848857,1.8816,1.0440896875396672,-0.010404054978746411,123.65703339999999,12365.10334,-17.189481354244847,0.07602924513929263,0.17662500000000003,5.57,6.6744,7.7359,18.0,2.0,0,16.0,0,94.0341,0.5103782890408471,26.156403,-0.1116789213839657
Nb16Mo46Ta22W16,16,46,22,16,1.8202,Nb16 Mo46 Ta22 W16,Nb0.11593339348935693 Mo0.34419184228990085 Ta0.3104696893584627 W0.2294050748622794 ,Nb0.16Mo0.46Ta0.22W0.16,0.023953750465844626,5.8567289941090594,-0.0029492593185460893,1.8232000000000002,1.0440260240101213,-0.010614794849583116,128.22955439999998,12822.035440000001,-18.499694769273468,0.07069258220625534,0.16152000000000005,5.62,5.5952,7.554400000000001,18.0,2.0,0,16.0,0,98.8506,0.37912405670413174,20.296788,-0.07403776321281644
Nb18Mo53Ta10W19,18,53,10,19,0.8582,Nb18 Mo53 Ta10 W19,Nb0.1386711412792534 Mo0.4216417720718027 Ta0.150045006068722 W0.28964208058022195 ,Nb0.18Mo0.53Ta0.1W0.19,0.021741222434523227,6.090814176269007,0.004139777196555141,1.602,1.0441124808813973,-0.009901530365318573,120.6063364,12059.573639999999,-20.94760639940861,0.0648708531009477,0.14404500000000003,5.720000000000001,4.976,7.4782,18.0,2.0,0,16.0,0,104.0556,0.36614010781023437,19.831608,-0.07140891513985766
Nb17Mo53Ta26W4,17,53,26,4,1.886,Nb17 Mo53 Ta26 W4,Nb0.13048397330383918 Mo0.4200860853530109 Ta0.388677642594091 W0.060752298749058985 ,Nb0.17Mo0.53Ta0.26W0.04,0.020535660858782875,5.141665234730404,-0.006422021636044526,1.5188000000000001,1.0439399936016334,-0.009284346303185689,121.0529334,12104.233339999999,-22.01577429542166,0.06904000506892231,0.15282000000000012,5.57,5.4272,7.3635,18.0,2.0,0,16.0,0,91.7181,0.36095056925813385,17.382363,-0.06957478743396071
Nb22Mo33Ta37W8,22,33,37,8,1.3327,Nb22 Mo33 Ta37 W8,Nb0.1528093801548317 Mo0.23669846891119672 Ta0.5005379585419225 W0.10995419239204908 ,Nb0.22Mo0.33Ta0.37W0.08,0.022736637547767568,5.814702142361646,-0.0023215655159211134,1.7282,1.0438611295120819,-0.010549621297205696,133.76411919999998,13375.75192,-20.407245669567455,0.07238321147736095,0.15618000000000007,5.41,5.5764000000000005,7.625,18.0,2.0,0,16.0,0,84.1053,0.42502545751614845,19.492587,-0.08284185073817579
Nb5Mo35Ta42W18,5,35,42,18,1.8071,Nb5 Mo35 Ta42 W18,Nb0.03153353185409215 Mo0.22794225028002602 Ta0.5158932701763617 W0.22463094768952013 ,Nb0.05Mo0.35Ta0.42W0.18,0.027284232711590566,5.48956789138351,-0.009384485459132324,2.074,1.043949029449867,-0.009895641332159994,147.3206286,14731.362860000001,-13.292921981396807,0.07485226006642089,0.17160000000000003,5.529999999999999,5.764799999999999,7.769500000000001,18.0,2.0,0,16.0,0,98.7849,0.3505654403689041,18.712803,-0.055835254267003004
Nb11Mo16Ta19W54,11,16,19,54,1.1223,Nb11 Mo16 Ta19 W54,Nb0.06418451176384757 Mo0.09640769844965198 Ta0.21592310581661225 W0.6234846839698882 ,Nb0.11Mo0.16Ta0.19W0.54,0.029702346400329344,5.744628867923669,0.002616620446954553,2.1414,1.0442429731158869,-0.009846209667724561,159.226999,15922.3799,-11.160600487956081,0.07299235325642858,0.16326,5.7,5.804,8.268900000000002,18.0,2.0,0,16.0,0,118.31700000000001,0.36233674925573783,22.19226,-0.07834450948121133
Nb84Mo3Ta2W11,84,3,2,11,1.0813,Nb84 Mo3 Ta2 W11,Nb0.7449472721682023 Mo0.02747398636740453 Ta0.03454492105017546 W0.19303382041421768 ,Nb0.84Mo0.03Ta0.02W0.11,0.018193889389144603,3.7579827693612873,0.022259942487629445,0.9124,1.0438319280517216,-0.004761380266206882,104.76151680000001,10476.09168,-14.384069325860654,0.06026971577549958,0.086925,5.14,3.6351999999999998,7.7044,18.0,2.0,0,16.0,0,53.15219999999999,0.710407101342328,13.509611999999999,-0.1255769101454451
Nb9Mo46Ta8W37,9,46,8,37,0.7973,Nb9 Mo46 Ta8 W37,Nb0.06194189754743865 Mo0.3269294195012443 Ta0.107235836470948 W0.5038928464803691 ,Nb0.09Mo0.46Ta0.08W0.37,0.022660789756884014,8.423591267037697,0.011843491698058359,1.6440000000000001,1.0442498681320553,-0.009509968738958636,134.9998046,13499.060459999999,-18.519489303647795,0.05637956967100551,0.11962499999999995,5.83,3.6239999999999997,7.7595,18.0,2.0,0,16.0,0,118.7439,0.2957435938377269,17.876643,-0.05366867106662515
Nb2Mo9Ta38W51,2,9,38,51,1.8282,Nb2 Mo9 Ta38 W51,Nb0.010739919090381841 Mo0.04990771644412959 Ta0.3974317611421985 W0.5419206033232901 ,Nb0.02Mo0.09Ta0.38W0.51,0.03371053636721092,4.453559419387326,-0.0045371466028561154,2.4308,1.044139872185801,-0.008364243306397397,173.013122,17301.1322,-7.360296882070395,0.07997490239368116,0.181485,5.6,6.48,8.382200000000001,18.0,2.0,0,16.0,0,115.29599999999999,0.3546835612687318,21.218999999999998,-0.061723742052651104
Nb8Mo34Ta33W25,8,34,33,25,1.9602,Nb8 Mo34 Ta33 W25,Nb0.05100370526354785 Mo0.22384367793347792 Ta0.40976384938023924 W0.315388767422735 ,Nb0.08Mo0.34Ta0.33W0.25,0.02803415600755113,5.855929500711658,-0.005146916299368012,2.1598,1.0440282937127088,-0.0106526104137597,145.7317108,14572.49108,-13.554424183541277,0.07458955892011661,0.17326500000000003,5.59,5.8468,7.8224,18.0,2.0,0,16.0,0,103.2807,0.3639691491379149,20.672067000000002,-0.06605331387613304
Nb43Mo25Ta19W13,43,25,19,13,1.3041,Nb43 Mo25 Ta19 W13,Nb0.3268834186634363 Mo0.1962540464438257 Ta0.28131053544432116 W0.19555199944841692 ,Nb0.43Mo0.25Ta0.19W0.13,0.022733553402779876,5.375609555925388,-0.02004251708545819,1.7026,1.0439106594565881,-0.010727124844347999,122.21904060000001,12221.404059999999,-20.756240151116803,0.07426849155655575,0.15832500000000005,5.380000000000001,6.010400000000001,7.656100000000001,18.0,2.0,0,16.0,0,77.99940000000002,0.5456449936169742,22.958268,-0.11216705735293772
Nb6Mo31Ta14W49,6,31,14,49,0.8052,Nb6 Mo31 Ta14 W49,Nb0.036982549057923315 Mo0.1973156175337152 Ta0.168066667194763 W0.5976351662135986 ,Nb0.06Mo0.31Ta0.14W0.49,0.026170264344239438,7.6773678990575185,0.009693597311981234,1.8803999999999998,1.0442774753343809,-0.009616542842027589,150.736286,15073.0086,-14.04115235892103,0.0617712096262128,0.13348499999999996,5.8,4.176,8.0634,18.0,2.0,0,16.0,0,122.72999999999999,0.29481290622418965,18.59676,-0.053723576043076315
Nb7Mo18Ta31W44,7,18,31,44,1.7179,Nb7 Mo18 Ta31 W44,Nb0.040455367036317066 Mo0.10742485752455733 Ta0.3489375924069972 W0.5031821830321285 ,Nb0.07Mo0.18Ta0.31W0.44,0.03141767340051207,5.471561011283833,-0.0030826785069844307,2.3558,1.0441330203357304,-0.010135681261808837,160.7596894,16075.60894,-10.268450250332764,0.07733237895176243,0.17831999999999998,5.620000000000001,6.2232,8.1845,18.0,2.0,0,16.0,0,112.0746,0.3693025801827559,22.301028,-0.07296852475322993
Nb43Mo35Ta8W14,43,35,8,14,1.3542,Nb43 Mo35 Ta8 W14,Nb0.35123070067437023 Mo0.295220311676512 Ta0.12726880378999755 W0.2262801838591202 ,Nb0.43Mo0.35Ta0.08W0.14,0.021695782189469347,4.661023511800015,-0.012168452535669125,1.6284,1.0439897488928265,-0.01004047663698908,113.74917380000001,11374.21738,-21.330631130516927,0.07442064545604027,0.16800000000000004,5.49,6.412,7.5361,18.0,2.0,0,16.0,0,83.5557,0.5312047868102387,23.903787,-0.110821874440316
Nb9Mo32Ta51W8,9,32,51,8,1.3433,Nb9 Mo32 Ta51 W8,Nb0.05725027627472174 Mo0.2102031555080833 Ta0.6318488714572251 W0.10069769675996987 ,Nb0.09Mo0.32Ta0.51W0.08,0.02383348940447024,5.534622436379191,-0.012217539206719885,1.7542,1.0438251962224998,-0.00936819931284496,146.059393,14605.299299999999,-16.492286092997695,0.07228261377880021,0.15504000000000007,5.4,5.328000000000001,7.7067000000000005,18.0,2.0,0,16.0,0,87.69,0.36162283851350036,16.604400000000002,-0.05937522201294362
Nb5Mo11Ta6W78,5,11,6,78,1.8006,Nb5 Mo11 Ta6 W78,Nb0.027413970455108842 Mo0.06228002765815343 Ta0.06407094758703866 W0.846235054299699 ,Nb0.05Mo0.11Ta0.06W0.78,0.021848479488580142,7.865144023462214,0.008416117675767639,1.1908,1.0444719498515092,-0.006278660945315524,169.4529918,16945.07918,-13.152993173304175,0.04968246617524427,0.08447999999999997,5.89,2.8224,8.556700000000001,18.0,2.0,0,16.0,0,138.0717,0.23169802311331664,12.479547,-0.03738563739701932
Nb8Mo70Ta12W10,8,70,12,10,0.7325,Nb8 Mo70 Ta12 W10,Nb0.06480620299954687 Mo0.5855699819866473 Ta0.18932841388746902 W0.16029540112633678 ,Nb0.08Mo0.7Ta0.12W0.1,0.018661125723176537,6.483888792746407,0.009843441688001053,1.2111999999999998,1.044103359976406,-0.007785403245748298,114.702256,11468.8256,-22.356583405654458,0.05532361258825155,0.10950000000000004,5.8,3.615999999999999,7.241600000000001,18.0,2.0,0,16.0,0,107.598,0.26751234167714794,13.18512,-0.04174050290726677
Nb50Mo15Ta8W27,50,15,8,27,1.3462,Nb50 Mo15 Ta8 W27,Nb0.37175393749055413 Mo0.11516778319048841 Ta0.11584666089983192 W0.3972316184191256 ,Nb0.5Mo0.15Ta0.08W0.27,0.025916531906923414,4.349339676184868,-0.01721009311032247,1.91,1.0440169481524901,-0.009866389048674332,124.95982039999998,12495.68204,-14.689413863271643,0.07987793492122408,0.17572500000000002,5.42,6.9648,7.859,18.0,2.0,0,16.0,0,82.9086,0.6075543442503022,26.612988,-0.13547200240837787
Nb21Mo64Ta7W8,21,64,7,8,0.8475,Nb21 Mo64 Ta7 W8,Nb0.18017501280877968 Mo0.5670344125159504 Ta0.1169718254610054 W0.13581874921426457 ,Nb0.21Mo0.64Ta0.07W0.08,0.017902489896132922,5.112473331215292,0.004206670463712989,1.231,1.044069198930165,-0.008327021943403377,108.29829140000001,10828.54914,-25.98141707018925,0.062251232186247084,0.1320000000000001,5.72,4.816,7.233500000000001,18.0,2.0,0,16.0,0,99.0276,0.3603448613604175,17.415408,-0.06918546882079851
Nb57Mo30Ta3W10,57,30,3,10,1.2854,Nb57 Mo30 Ta3 W10,Nb0.5017157580198166 Mo0.27268315879650035 Ta0.05142947623090483 W0.17417160695277822 ,Nb0.57Mo0.3Ta0.03W0.1,0.01948738611476874,3.9663847292223062,-0.018568329036240724,1.3781999999999999,1.0439422521239734,-0.008455794196365817,105.557073,10555.1073,-22.26625733108489,0.07317073170731712,0.15750000000000008,5.400000000000001,6.191999999999998,7.493900000000001,18.0,2.0,0,16.0,0,73.45800000000001,0.5948622222370676,22.306319999999996,-0.1204882010382605
Nb6Mo34Ta21W39,6,34,21,39,0.7854,Nb6 Mo34 Ta21 W39,Nb0.037692601035888694 Mo0.22056568643801694 Ta0.25694023243564673 W0.4848014800904476 ,Nb0.06Mo0.34Ta0.21W0.39,0.02764794870161353,6.769422834093508,0.004746712896371486,2.0718,1.0441833296657816,-0.010230903156082922,147.8974376,14789.063760000001,-13.384068285305798,0.06788664744727399,0.153945,5.7299999999999995,4.9596,7.945,18.0,2.0,0,16.0,0,115.7109,0.3203790366641595,19.898883000000005,-0.0582302201935051
Nb10Mo12Ta56W22,10,12,56,22,1.3242,Nb10 Mo12 Ta56 W22,Nb0.057145357623160635 Mo0.07081355158213286 Ta0.6232710321617895 W0.24877005863291704 ,Nb0.1Mo0.12Ta0.56W0.22,0.029048202700628713,5.381478751769872,-0.015932558957865474,2.0768000000000004,1.0438498923690678,-0.009498716667248283,162.5814508,16257.90508,-11.257096799400353,0.07763886128627565,0.16038000000000005,5.340000000000001,5.7856000000000005,8.069400000000002,18.0,2.0,0,16.0,0,89.75820000000002,0.429142955701849,19.767492000000004,-0.07932894383159557
