formula,Nb,Mo,Ta,W,C11,C12,C44,a,b,c,G,B,E,v,Pugh,Zener
Nb4Mo36Ta27W33,4,36,27,33,474.52,188.605,116.017,64.295,64.295,64.294,126.134,283.91,329.593,0.307,2.251,0.812
Nb65Mo9Ta10W16,65,9,10,16,301.18,139.107,33.305,65.638,65.636,65.642,47.984,193.131,132.942,0.385,4.025,0.411
Nb15Mo25Ta53W7,15,25,53,7,349.051,154.413,69.729,65.378,65.369,65.367,79.706,219.292,213.278,0.338,2.751,0.716
Nb3Mo51Ta23W23,3,51,23,23,480.156,189.951,118.164,64.143,64.14,64.142,128.291,286.686,334.916,0.305,2.235,0.814
Nb12Mo12Ta19W57,12,12,19,57,469.626,187.812,113.015,64.368,64.371,64.372,123.452,281.75,323.158,0.309,2.282,0.802
Nb7Mo48Ta15W30,7,48,15,30,483.298,191.272,118.302,64.062,64.062,64.062,128.704,288.614,336.144,0.306,2.242,0.81
Nb3Mo69Ta14W14,3,69,14,14,472.807,185.82,114.372,63.884,63.885,63.886,125.249,281.483,327.214,0.306,2.247,0.797
Nb1Mo24Ta2W73,1,24,2,73,546.025,212.601,150.002,63.662,63.662,63.662,156.476,323.743,404.293,0.292,2.069,0.9
Nb11Mo7Ta59W23,11,7,59,23,348.442,161.607,76.586,65.429,65.43,65.429,82.926,223.886,221.438,0.335,2.7,0.82
Nb10Mo5Ta74W11,10,5,74,11,302.249,156.231,67.143,65.894,65.9,65.891,69.431,204.904,187.154,0.348,2.951,0.92
Nb1Mo20Ta18W61,1,20,18,61,518.64,203.615,136.132,64.024,64.024,64.024,144.316,308.623,374.564,0.298,2.139,0.864
Nb11Mo2Ta30W57,11,2,30,57,441.113,180.552,104.714,64.646,64.646,64.646,114.287,267.406,300.107,0.313,2.34,0.804
Nb8Mo28Ta17W47,8,28,17,47,488.033,193.428,120.701,64.177,64.179,64.178,130.721,291.63,341.184,0.305,2.231,0.819
Nb4Mo36Ta6W54,4,36,6,54,518.475,202.931,135.869,63.802,63.803,63.802,144.244,308.112,374.319,0.298,2.136,0.861
Nb1Mo40Ta12W47,1,40,12,47,516.354,201.931,135.377,63.852,63.854,63.851,143.725,306.738,372.929,0.297,2.134,0.861
Nb15Mo10Ta3W72,15,10,3,72,502.118,198.917,125.758,64.076,64.079,64.078,135.528,299.984,353.368,0.304,2.213,0.83
Nb11Mo46Ta36W7,11,46,36,7,418.12,170.788,91.196,64.708,64.707,64.705,103.041,253.232,272.203,0.321,2.458,0.737
Nb39Mo5Ta3W53,39,5,3,53,421.864,175.916,85.565,64.731,64.728,64.729,98.974,257.899,263.246,0.33,2.606,0.696
Nb29Mo32Ta32W7,29,32,32,7,365.116,156.312,67.406,65.165,65.155,65.161,80.371,225.913,215.552,0.341,2.811,0.646
Nb29Mo26Ta12W33,29,26,12,33,424.046,174.086,87.864,64.631,64.631,64.628,101.209,257.406,268.444,0.326,2.543,0.703
Nb2Mo17Ta35W46,2,17,35,46,460.105,184.763,112.505,64.477,64.48,64.475,121.976,276.543,319.023,0.308,2.267,0.817
Nb21Mo1Ta27W51,21,1,27,51,414.326,173.929,92.309,64.866,64.866,64.865,102.609,254.061,271.302,0.322,2.476,0.768
Nb34Mo37Ta8W21,34,37,8,21,414.985,171.657,81.212,64.629,64.632,64.628,95.531,252.767,254.528,0.332,2.646,0.668
Nb21Mo45Ta22W12,21,45,22,12,420.842,172.013,88.304,64.623,64.617,64.62,101.325,254.956,268.417,0.325,2.516,0.71
Nb10Mo9Ta78W3,10,9,78,3,289.662,153.411,62.429,66.02,66.017,66.018,64.649,198.828,174.981,0.353,3.076,0.916
Nb6Mo84Ta4W6,6,84,4,6,450.4,177.188,102.433,63.667,63.667,63.666,114.962,268.258,301.777,0.313,2.333,0.75
Nb16Mo13Ta40W31,16,13,40,31,388.42,165.512,83.71,65.044,65.046,65.046,93.888,239.814,249.149,0.327,2.554,0.751
Nb50Mo4Ta35W11,50,4,35,11,287.638,142.54,41.588,65.975,65.977,65.976,52.061,190.906,143.168,0.375,3.667,0.573
Nb4Mo55Ta14W27,4,55,14,27,488.032,191.999,121.237,63.944,63.943,63.945,131.322,290.676,342.402,0.304,2.213,0.819
Nb10Mo28Ta57W5,10,28,57,5,353.114,155.261,72.556,65.329,65.32,65.328,82.16,221.212,219.327,0.335,2.692,0.733
Nb12Mo26Ta22W40,12,26,22,40,457.914,183.623,107.263,64.418,64.413,64.417,118.36,275.053,310.537,0.312,2.324,0.782
Nb20Mo15Ta42W23,20,15,42,23,367.595,160.257,75.465,65.223,65.22,65.225,85.713,229.37,228.657,0.334,2.676,0.728
Nb51Mo1Ta15W33,51,1,15,33,340.988,152.954,54.65,65.399,65.402,65.4,68.021,215.632,184.647,0.357,3.17,0.581
Nb6Mo9Ta72W13,6,9,72,13,320.289,156.912,71.58,65.697,65.693,65.694,75.465,211.371,202.318,0.34,2.801,0.876
Nb1Mo1Ta70W28,1,1,70,28,345.472,164.431,83.598,65.478,65.478,65.473,86.302,224.778,229.53,0.33,2.605,0.924
Nb34Mo43Ta1W22,34,43,1,22,430.124,177.141,86.317,64.436,64.434,64.435,100.633,261.469,267.571,0.329,2.598,0.682
Nb40Mo18Ta39W3,40,18,39,3,307.756,144.143,48.411,65.752,65.747,65.749,59.814,198.68,163.078,0.363,3.322,0.592
Nb6Mo77Ta6W11,6,77,6,11,459.938,180.956,107.164,63.742,63.742,63.742,119.104,273.95,312.084,0.31,2.3,0.768
Nb40Mo5Ta42W13,40,5,42,13,300.887,147.243,50.345,65.874,65.875,65.873,59.666,198.457,162.693,0.363,3.326,0.655
Nb13Mo38Ta48W1,13,38,48,1,371.926,157.901,75.311,65.127,65.124,65.128,86.713,229.242,231.011,0.332,2.644,0.704
Nb3Mo25Ta21W51,3,25,21,51,500.513,197.517,127.63,64.141,64.141,64.141,136.695,298.516,355.78,0.301,2.184,0.842
Nb16Mo62Ta21W1,16,62,21,1,433.996,175.708,94.18,64.414,64.416,64.417,106.892,261.804,282.261,0.32,2.449,0.729
Nb12Mo2Ta71W15,12,2,71,15,305.766,157.434,68.238,65.874,65.868,65.867,70.551,206.878,190.048,0.347,2.932,0.92
Nb57Mo17Ta12W14,57,17,12,14,325.342,145.524,43.492,65.435,65.431,65.437,58.435,205.463,160.125,0.37,3.516,0.484
Nb36Mo15Ta24W25,36,15,24,25,366.49,158.398,67.458,65.176,65.186,65.187,80.297,227.762,215.559,0.342,2.837,0.648
Nb22Mo18Ta6W54,22,18,6,54,467.396,187.94,108.091,64.315,64.315,64.314,119.801,281.092,314.695,0.313,2.346,0.774
Nb27Mo8Ta44W21,27,8,44,21,340.639,156.931,66.331,65.489,65.49,65.49,75.583,218.167,203.273,0.345,2.886,0.722
Nb13Mo12Ta1W74,13,12,1,74,513.538,202.79,131.454,63.974,63.976,63.976,140.551,306.373,365.727,0.301,2.18,0.846
Nb46Mo15Ta3W36,46,15,3,36,393.919,166.725,70.706,64.88,64.885,64.885,85.573,242.457,229.696,0.342,2.833,0.622
Nb6Mo27Ta44W23,6,27,44,23,412.003,169.976,92.975,64.821,64.82,64.821,103.331,250.651,272.542,0.319,2.426,0.768
Nb19Mo56Ta18W7,19,56,18,7,432.895,175.667,92.931,64.437,64.437,64.436,105.868,261.409,279.829,0.322,2.469,0.723
Nb10Mo50Ta30W10,10,50,30,10,438.071,176.867,98.794,64.512,64.511,64.515,110.487,263.935,290.874,0.316,2.389,0.756
Nb12Mo11Ta51W26,12,11,51,26,367.561,162.081,80.017,65.245,65.245,65.245,88.445,230.574,235.255,0.33,2.607,0.779
Nb12Mo58Ta2W28,12,58,2,28,474.868,188.301,112.799,63.859,63.859,63.859,124.142,283.823,325.037,0.309,2.286,0.787
Nb2Mo37Ta11W50,2,37,11,50,517.576,202.59,135.652,63.862,63.861,63.862,144.004,307.585,373.694,0.298,2.136,0.861
Nb73Mo11Ta4W12,73,11,4,12,287.092,133.684,23.817,65.684,65.682,65.682,38.93,184.82,109.127,0.402,4.748,0.311
Nb61Mo5Ta17W17,61,5,17,17,297.325,139.925,36.218,65.75,65.75,65.752,49.701,192.392,137.281,0.381,3.871,0.46
Nb12Mo30Ta55W3,12,30,55,3,352.504,154.52,71.089,65.326,65.322,65.327,81.187,220.515,216.937,0.336,2.716,0.718
Nb3Mo33Ta9W55,3,33,9,55,521.115,204.023,137.136,63.849,63.85,63.849,145.333,309.72,377.028,0.297,2.131,0.865
Nb9Mo58Ta14W19,9,58,14,19,469.256,186.296,111.165,64.068,64.066,64.069,122.439,280.616,320.677,0.31,2.292,0.786
Nb22Mo4Ta50W24,22,4,50,24,337.66,157.866,69.682,65.544,65.548,65.55,77.169,217.797,207.053,0.342,2.822,0.775
Nb10Mo16Ta48W26,10,16,48,26,383.767,164.302,84.333,65.086,65.084,65.08,93.715,237.457,248.459,0.326,2.534,0.769
Nb17Mo4Ta33W46,17,4,33,46,408.946,172.234,91.733,64.9,64.905,64.902,101.593,251.138,268.564,0.322,2.472,0.775
Nb9Mo17Ta62W12,9,17,62,12,340.917,156.037,72.487,65.478,65.464,65.472,79.903,217.664,213.575,0.336,2.724,0.784
Nb33Mo20Ta18W29,33,20,18,29,394.413,165.539,76.771,64.917,64.914,64.916,90.124,241.83,240.497,0.334,2.683,0.671
Nb1Mo23Ta30W46,1,23,30,46,481.963,191.371,120.686,64.308,64.31,64.308,129.994,288.235,339.016,0.304,2.217,0.831
Nb11Mo43Ta41W5,11,43,41,5,402.797,166.24,85.979,64.854,64.851,64.851,97.71,245.092,258.747,0.324,2.508,0.727
Nb17Mo41Ta20W22,17,41,20,22,440.582,178.004,97.603,64.468,64.47,64.471,109.922,265.53,289.779,0.318,2.416,0.743
Nb13Mo11Ta8W68,13,11,8,68,496.887,196.853,123.915,64.136,64.137,64.136,133.77,296.864,348.903,0.304,2.219,0.826
Nb26Mo7Ta28W39,26,7,28,39,391.735,166.814,81.567,65.023,65.022,65.024,92.78,241.787,246.775,0.33,2.606,0.725
Nb69Mo19Ta9W3,69,19,9,3,288.735,133.825,25.776,65.69,65.683,65.689,40.803,185.461,114.047,0.398,4.545,0.333
Nb39Mo3Ta24W34,39,3,24,34,358.214,158.545,66.071,65.302,65.302,65.306,77.992,225.102,209.751,0.345,2.886,0.662
Nb50Mo17Ta28W5,50,17,28,5,305.067,141.77,42.462,65.717,65.718,65.719,55.343,196.202,151.761,0.371,3.545,0.52
Nb2Mo45Ta50W3,2,45,50,3,409.448,168.308,91.732,64.827,64.826,64.826,102.352,248.688,270.013,0.319,2.43,0.761
Nb34Mo4Ta54W8,34,4,54,8,286.892,148.114,50.926,66.059,66.061,66.058,57.651,194.373,157.392,0.365,3.372,0.734
Nb38Mo32Ta23W7,38,32,23,7,360.498,154.826,61.837,65.165,65.159,65.163,75.903,223.383,204.542,0.347,2.943,0.601
Nb47Mo3Ta31W19,47,3,31,19,308.526,146.754,48.633,65.757,65.757,65.759,59.698,200.678,162.937,0.365,3.362,0.601
Nb24Mo26Ta7W43,24,26,7,43,455.007,183.869,101.646,64.373,64.37,64.372,114.084,274.248,300.573,0.317,2.404,0.75
Nb4Mo55Ta12W29,4,55,12,29,490.337,192.645,122.374,63.897,63.896,63.898,132.355,291.875,344.926,0.303,2.205,0.822
Nb35Mo37Ta14W14,35,37,14,14,395.96,165.317,74.172,64.813,64.813,64.814,88.576,242.198,236.855,0.337,2.734,0.643
Nb10Mo49Ta25W16,10,49,25,16,451.326,181.027,103.941,64.387,64.384,64.383,115.472,271.126,303.35,0.314,2.348,0.769
Nb7Mo16Ta42W35,7,16,42,35,414.981,172.053,95.237,64.817,64.82,64.819,104.984,253.029,276.685,0.318,2.41,0.784
Nb4Mo1Ta40W55,4,1,40,55,435.761,179.882,106.046,64.704,64.708,64.703,114.321,265.175,299.869,0.312,2.32,0.829
Nb38Mo26Ta15W21,38,26,15,21,384.581,162.348,70.279,64.959,64.952,64.958,84.502,236.425,226.52,0.34,2.798,0.632
Nb81Mo2Ta14W3,81,2,14,3,242.763,126.61,12.479,66.32,66.32,66.323,24.455,165.327,69.918,0.43,6.76,0.215
Nb24Mo40Ta7W29,24,40,7,29,448.343,181.529,97.815,64.331,64.336,64.337,110.776,270.467,292.407,0.32,2.442,0.733
Nb19Mo10Ta15W56,19,10,15,56,454.849,183.659,105.168,64.473,64.473,64.474,116.438,274.055,305.981,0.314,2.354,0.776
Nb25Mo12Ta38W25,25,12,38,25,364.875,160.466,72.817,65.251,65.246,65.246,83.426,228.602,223.136,0.337,2.74,0.712
Nb16Mo35Ta8W41,16,35,8,41,475.786,189.926,112.581,64.16,64.164,64.162,123.875,285.213,324.628,0.31,2.302,0.788
Nb69Mo1Ta19W11,69,1,19,11,266.438,133.505,25.194,66.087,66.086,66.087,37.611,177.816,105.403,0.401,4.728,0.379
Nb28Mo9Ta11W52,28,9,11,52,434.726,178.31,94.339,64.624,64.624,64.621,106.686,263.782,282.036,0.322,2.472,0.736
Nb8Mo84Ta6W2,8,84,6,2,446.726,176.595,100.171,63.769,63.769,63.767,112.923,266.639,296.861,0.314,2.361,0.742
Nb59Mo13Ta10W18,59,13,10,18,324.325,145.459,42.756,65.447,65.444,65.45,57.732,205.081,158.339,0.371,3.552,0.478
Nb6Mo40Ta9W45,6,40,9,45,504.133,198.328,128.33,63.913,63.915,63.913,137.652,300.263,358.217,0.301,2.181,0.839
Nb12Mo58Ta16W14,12,58,16,14,457.217,182.749,104.967,64.193,64.195,64.196,116.869,274.238,306.996,0.313,2.347,0.765
Nb19Mo34Ta16W31,19,34,16,31,445.905,180.056,99.308,64.439,64.439,64.441,111.62,268.672,294.127,0.318,2.407,0.747
Nb19Mo70Ta4W7,19,70,4,7,444.066,178.845,96.043,64.047,64.045,64.048,109.31,267.252,288.584,0.32,2.445,0.724
Nb24Mo38Ta27W11,24,38,27,11,398.567,165.893,79.622,64.831,64.847,64.85,92.717,243.451,246.817,0.331,2.626,0.684
Nb43Mo6Ta16W35,43,6,16,35,367.104,159.706,65.727,65.184,65.183,65.182,78.961,228.838,212.447,0.345,2.898,0.634
Nb28Mo44Ta10W18,28,44,10,18,427.56,175.011,87.971,64.501,64.504,64.505,101.706,259.194,269.825,0.326,2.548,0.697
Nb59Mo8Ta4W29,59,8,4,29,343.023,151.568,48.512,65.284,65.291,65.282,63.917,215.386,174.491,0.365,3.37,0.507
Nb11Mo38Ta46W5,11,38,46,5,386.085,161.767,80.793,65.006,65.006,65.008,92.155,236.54,244.687,0.328,2.567,0.72
Nb20Mo18Ta54W8,20,18,54,8,329.764,151.969,64.019,65.577,65.579,65.578,73.029,211.234,196.449,0.345,2.892,0.72
Nb10Mo1Ta21W68,10,1,21,68,471.56,188.655,115.668,64.388,64.39,64.388,125.373,282.957,327.718,0.307,2.257,0.818
Nb25Mo26Ta3W46,25,26,3,46,461.517,186.387,103.82,64.301,64.301,64.299,116.217,278.097,306.021,0.317,2.393,0.755
Nb23Mo62Ta9W6,23,62,9,6,435.155,176.836,91.552,64.296,64.295,64.295,105.108,262.943,278.248,0.324,2.502,0.709
Nb30Mo5Ta42W23,30,5,42,23,334.521,155.037,64.212,65.557,65.552,65.56,73.44,214.865,197.787,0.347,2.926,0.716
Nb11Mo23Ta10W56,11,23,10,56,495.851,196.386,123.467,64.104,64.104,64.105,133.379,296.208,347.916,0.304,2.221,0.825
Nb11Mo14Ta13W62,11,14,13,62,491.031,194.739,121.813,64.19,64.195,64.192,131.741,293.503,343.787,0.305,2.228,0.822
Nb43Mo52Ta1W4,43,52,1,4,402.009,169.017,70.913,64.631,64.628,64.627,86.609,246.681,232.604,0.343,2.848,0.609
Nb17Mo47Ta28W8,17,47,28,8,418.721,171.114,89.009,64.664,64.662,64.661,101.605,253.65,268.908,0.323,2.496,0.719
Nb29Mo25Ta18W28,29,25,18,28,407.238,168.745,82.1,64.792,64.788,64.791,95.372,248.243,253.635,0.33,2.603,0.688
Nb57Mo10Ta32W1,57,10,32,1,272.223,136.226,31.783,66.094,66.091,66.092,43.328,181.558,120.405,0.389,4.19,0.467
Nb10Mo59Ta29W2,10,59,29,2,438.195,176.811,98.393,64.469,64.461,64.467,110.25,263.939,290.326,0.317,2.394,0.753
Nb13Mo38Ta43W6,13,38,43,6,388.186,162.234,80.66,64.977,64.982,64.983,92.334,237.552,245.229,0.328,2.573,0.714
Nb31Mo42Ta17W10,31,42,17,10,401.158,166.601,77.308,64.77,64.768,64.771,91.404,244.787,243.858,0.334,2.678,0.659
Nb44Mo5Ta2W49,44,5,2,49,407.169,171.753,77.914,64.835,64.836,64.837,91.965,250.225,245.783,0.336,2.721,0.662
Nb38Mo6Ta24W32,38,6,24,32,362.809,160.068,66.86,65.244,65.233,65.246,79.032,227.648,212.504,0.344,2.88,0.66
Nb4Mo18Ta14W64,4,18,14,64,516.358,202.928,134.533,64.017,64.018,64.017,143.007,307.405,371.424,0.299,2.15,0.858
Nb9Mo7Ta83W1,9,7,83,1,278.368,154.143,61.343,66.145,66.144,66.143,61.649,195.552,167.361,0.357,3.172,0.988
Nb39Mo35Ta13W13,39,35,13,13,385.648,162.491,69.125,64.9,64.897,64.903,83.82,236.877,224.93,0.342,2.826,0.62
Nb24Mo43Ta15W18,24,43,15,18,428.81,174.878,90.073,64.524,64.524,64.529,103.375,259.522,273.774,0.324,2.51,0.709
Nb35Mo12Ta23W30,35,12,23,30,373.442,160.825,70.694,65.132,65.133,65.139,83.286,231.697,223.124,0.34,2.782,0.665
Nb51Mo1Ta45W3,51,1,45,3,261.623,141.858,36.329,66.337,66.336,66.336,44.431,181.78,123.251,0.387,4.091,0.607
Nb33Mo11Ta9W47,33,11,9,47,422.744,174.968,87.567,64.702,64.705,64.702,100.648,257.56,267.146,0.327,2.559,0.707
Nb39Mo20Ta3W38,39,20,3,38,416.547,173.233,81.334,64.685,64.685,64.684,95.614,254.338,254.901,0.333,2.66,0.669
Nb62Mo4Ta17W17,62,4,17,17,293.863,139.211,34.92,65.789,65.784,65.784,48.307,190.762,133.641,0.383,3.949,0.452
Nb6Mo25Ta21W48,6,25,21,48,487.125,193.051,121.065,64.225,64.223,64.223,130.862,291.076,341.42,0.305,2.224,0.823
Nb13Mo19Ta57W11,13,19,57,11,345.848,156.739,71.146,65.417,65.417,65.409,79.737,219.775,213.403,0.338,2.756,0.752
Nb31Mo38Ta9W22,31,38,9,22,421.845,173.511,84.929,64.574,64.574,64.572,98.921,256.289,262.934,0.329,2.591,0.684
Nb17Mo28Ta21W34,17,28,21,34,441.064,178.456,98.7,64.525,64.524,64.525,110.663,265.992,291.556,0.317,2.404,0.752
Nb15Mo6Ta74W5,15,6,74,5,287.083,153.324,60.577,66.062,66.06,66.06,63.024,197.91,170.928,0.356,3.14,0.906
Nb42Mo7Ta19W32,42,7,19,32,361.358,158.125,64.474,65.233,65.24,65.238,77.423,225.869,208.451,0.346,2.917,0.634
Nb21Mo2Ta5W72,21,2,5,72,476.718,190.925,113.879,64.306,64.305,64.303,124.716,286.189,326.693,0.31,2.295,0.797
Nb53Mo6Ta37W4,53,6,37,4,273.005,139.177,35.765,66.137,66.136,66.132,46.087,183.786,127.595,0.384,3.988,0.534
Nb25Mo25Ta37W13,25,25,37,13,366.353,158.367,70.531,65.178,65.188,65.187,82.433,227.696,220.669,0.338,2.762,0.678
Nb5Mo9Ta63W23,5,9,63,23,352.902,161.293,80.124,65.381,65.387,65.379,86.067,225.162,229.02,0.33,2.616,0.836
Nb24Mo24Ta10W42,24,24,10,42,447.457,181.232,98.799,64.448,64.452,64.45,111.341,269.974,293.654,0.319,2.425,0.742
Nb10Mo29Ta48W13,10,29,48,13,382.683,161.933,81.467,65.058,65.052,65.054,92.015,235.516,244.238,0.327,2.56,0.738
Nb7Mo51Ta21W21,7,51,21,21,469.442,186.594,112.204,64.2,64.2,64.2,123.102,280.877,322.231,0.309,2.282,0.793
Nb14Mo20Ta14W52,14,20,14,52,475.04,189.502,113.755,64.286,64.284,64.287,124.59,284.681,326.186,0.309,2.285,0.797
Nb62Mo12Ta23W3,62,12,23,3,277.955,134.636,29.489,65.953,65.948,65.956,42.463,182.409,118.215,0.392,4.296,0.412
Nb1Mo26Ta25W48,1,26,25,48,496.561,196.125,126.542,64.183,64.18,64.182,135.534,296.27,352.804,0.302,2.186,0.842
Nb11Mo42Ta9W38,11,42,9,38,485.933,192.704,118.401,64.038,64.04,64.038,128.981,290.447,337.05,0.307,2.252,0.808
Nb12Mo47Ta28W13,12,47,28,13,436.637,176.468,97.562,64.523,64.52,64.522,109.487,263.191,288.461,0.317,2.404,0.75
Nb53Mo16Ta16W15,53,16,16,15,328.903,146.977,47.257,65.444,65.442,65.44,61.62,207.619,168.217,0.365,3.369,0.52
Nb1Mo67Ta7W25,1,67,7,25,483.676,188.341,120.255,63.67,63.671,63.671,130.56,286.786,340.074,0.302,2.197,0.814
Nb2Mo1Ta63W34,2,1,63,34,368.703,168.749,88.436,65.27,65.256,65.27,92.885,235.4,246.264,0.326,2.534,0.885
Nb10Mo8Ta2W80,10,8,2,80,523.262,205.708,136.588,63.925,63.926,63.926,145.07,311.559,376.737,0.298,2.148,0.86
Nb11Mo53Ta6W30,11,53,6,30,479.497,190.062,115.263,63.94,63.941,63.942,126.262,286.54,330.275,0.308,2.269,0.796
Nb6Mo14Ta17W63,6,14,17,63,500.39,197.627,127.231,64.15,64.151,64.149,136.397,298.548,355.112,0.302,2.189,0.84
Nb18Mo55Ta7W20,18,55,7,20,456.572,183.328,102.699,64.14,64.139,64.14,115.146,274.409,303.05,0.316,2.383,0.752
Nb3Mo30Ta58W9,3,30,58,9,375.389,160.375,81.738,65.126,65.12,65.126,91.226,232.046,241.968,0.326,2.544,0.76
Nb7Mo25Ta62W6,7,25,62,6,347.087,155.007,72.628,65.396,65.386,65.38,81.234,219.034,216.89,0.335,2.696,0.756
Nb16Mo29Ta2W53,16,29,2,53,492.136,195.817,120.192,64.039,64.038,64.036,130.694,294.59,341.569,0.307,2.254,0.811
Nb17Mo34Ta39W10,17,34,39,10,386.122,162.036,79.112,64.998,64.997,65.002,90.968,236.732,241.917,0.33,2.602,0.706
Nb23Mo20Ta38W19,23,20,38,19,369.107,159.159,73.381,65.187,65.186,65.184,84.721,229.141,226.276,0.335,2.705,0.699
Nb40Mo33Ta25W2,40,33,25,2,347.206,150.891,56.58,65.273,65.274,65.277,70.666,216.33,191.182,0.353,3.061,0.576
Nb9Mo45Ta7W39,9,45,7,39,492.731,194.645,122.151,63.933,63.933,63.933,132.281,294.007,345.087,0.304,2.223,0.82
Nb39Mo20Ta7W34,39,20,7,34,405.224,169.381,77.423,64.786,64.788,64.789,91.687,247.995,244.883,0.335,2.705,0.657
Nb55Mo26Ta5W14,55,26,5,14,353.182,153.392,51.237,65.144,65.137,65.142,67.168,219.989,182.889,0.361,3.275,0.513
Nb6Mo57Ta28W9,6,57,28,9,454.777,181.771,106.39,64.335,64.335,64.335,117.561,272.773,308.381,0.312,2.32,0.779
Nb53Mo17Ta14W16,53,17,14,16,334.619,148.472,48.633,65.376,65.377,65.383,63.262,210.521,172.506,0.363,3.328,0.523
Nb14Mo41Ta6W39,14,41,6,39,482.441,191.991,115.946,64.047,64.048,64.049,126.887,288.808,332.034,0.308,2.276,0.798
Nb36Mo1Ta56W7,36,1,56,7,276.201,148.067,48.503,66.191,66.195,66.188,54.226,190.778,148.599,0.37,3.518,0.757
Nb64Mo3Ta2W31,64,3,2,31,329.312,147.704,42.184,65.384,65.392,65.384,57.657,208.24,158.355,0.373,3.612,0.465
Nb3Mo25Ta62W10,3,25,62,10,361.192,158.223,78.442,65.265,65.254,65.249,86.968,225.879,231.229,0.329,2.597,0.773
Nb11Mo59Ta17W13,11,59,17,13,457.887,182.837,105.643,64.193,64.188,64.191,117.418,274.52,308.299,0.313,2.338,0.768
Nb8Mo29Ta54W9,8,29,54,9,369.999,158.976,78.28,65.168,65.168,65.169,88.232,229.317,234.607,0.329,2.599,0.742
Nb43Mo24Ta11W22,43,24,11,22,379,161.119,66.322,64.988,64.992,64.992,80.997,233.746,217.831,0.345,2.886,0.609
Nb26Mo48Ta16W10,26,48,16,10,418.461,171.771,85.145,64.593,64.59,64.59,98.805,254.001,262.391,0.328,2.571,0.69
Nb10Mo19Ta49W22,10,19,49,22,380.415,162.884,82.532,65.108,65.103,65.103,92.185,235.395,244.622,0.327,2.554,0.759
Nb32Mo13Ta19W36,32,13,19,36,396.047,166.72,78.864,64.935,64.937,64.933,91.651,243.162,244.265,0.333,2.653,0.688
Nb39Mo9Ta20W32,39,9,20,32,368.926,159.897,67.891,65.175,65.171,65.173,80.749,229.573,216.826,0.343,2.843,0.65
Nb76Mo5Ta8W11,76,5,8,11,266.703,129.294,18.619,65.934,65.934,65.933,32.468,175.097,91.734,0.413,5.393,0.271
Nb6Mo21Ta15W58,6,21,15,58,504.718,199.073,128.769,64.088,64.088,64.09,137.905,300.955,358.898,0.301,2.182,0.843
Nb38Mo30Ta8W24,38,30,8,24,404.012,168.526,76.284,64.757,64.756,64.754,90.829,247.021,242.735,0.336,2.72,0.648
Nb10Mo22Ta30W38,10,22,30,38,442.251,178.895,102.425,64.57,64.573,64.569,113.27,266.68,297.666,0.314,2.354,0.778
Nb23Mo11Ta19W47,23,11,19,47,429.016,176.06,94.188,64.686,64.681,64.686,106.002,260.379,280.009,0.321,2.456,0.745
Nb2Mo3Ta86W9,2,3,86,9,290.077,158.702,69.953,66.004,66.002,66.009,68.214,202.494,183.983,0.349,2.968,1.065
Nb9Mo26Ta43W22,9,26,43,22,403.302,167.55,88.96,64.886,64.885,64.893,99.583,246.134,263.246,0.322,2.472,0.755
Nb61Mo19Ta14W6,61,19,14,6,304.421,139.133,35.026,65.608,65.604,65.606,49.795,194.229,137.624,0.382,3.901,0.424
Nb3Mo52Ta35W10,3,52,35,10,451.492,180.953,106.516,64.441,64.44,64.441,117.216,271.133,307.356,0.311,2.313,0.787
Nb4Mo64Ta17W15,4,64,17,15,473.278,186.715,114.459,63.995,63.996,63.998,125.231,282.236,327.287,0.307,2.254,0.799
Nb40Mo2Ta40W18,40,2,40,18,307.022,149.118,52.767,65.819,65.817,65.818,62.04,201.753,168.815,0.361,3.252,0.668
Nb3Mo20Ta1W76,3,20,1,76,544.425,212.469,148.616,63.699,63.7,63.698,155.333,323.121,401.64,0.293,2.08,0.895
Nb31Mo45Ta4W20,31,45,4,20,431.358,176.911,87.896,64.427,64.427,64.426,101.962,261.726,270.73,0.328,2.567,0.691
Nb3Mo38Ta3W56,3,38,3,56,522.059,203.656,138.185,63.705,63.706,63.705,146.24,309.79,379.072,0.296,2.118,0.868
Nb10Mo37Ta46W7,10,37,46,7,390.038,162.887,82.672,64.978,64.976,64.977,93.901,238.604,249.034,0.326,2.541,0.728
Nb92Mo2Ta3W3,92,2,3,3,227.15,118.084,2.276,66.32,66.322,66.322,13.435,154.44,39.169,0.458,11.495,0.042
Nb3Mo13Ta64W20,3,13,64,20,355.743,160.428,80.288,65.34,65.337,65.34,86.836,225.533,230.878,0.329,2.597,0.822
Nb10Mo29Ta12W49,10,29,12,49,492.096,194.974,121.906,64.112,64.113,64.11,131.95,294.015,344.338,0.305,2.228,0.821
Nb16Mo55Ta24W5,16,55,24,5,430.252,174.611,93.197,64.513,64.51,64.51,105.784,259.825,279.43,0.321,2.456,0.729
Nb12Mo13Ta20W55,12,13,20,55,466.576,186.739,111.724,64.393,64.393,64.394,122.26,280.018,320.182,0.309,2.29,0.798
Nb26Mo63Ta2W9,26,63,2,9,437.823,178.34,91.13,64.194,64.193,64.196,105.01,264.834,278.252,0.325,2.522,0.702
Nb32Mo28Ta32W8,32,28,32,8,356.12,154.763,63.796,65.251,65.238,65.25,76.65,221.882,206.204,0.345,2.895,0.634
